,Country,hdi_2009,hdi_2019,hdi_var,edu_2009,edu_2019,edu_var,pov_index
98, Libya,0.7990000247955322,0.7239999771118164,-0.07500004768371582,14.300000190734863,12.899999618530273,-1.4000005722045898,0.007000000216066837
99, Liechtenstein,0.8989999890327454,0.9190000295639038,0.020000040531158447,14.5,14.899999618530273,0.39999961853027344,0.14128972589969635
100, Lithuania,0.828000009059906,0.8820000290870667,0.054000020027160645,16.799999237060547,16.600000381469727,-0.1999988555908203,0.14128972589969635
101, Luxembourg,0.8930000066757202,0.9160000085830688,0.023000001907348633,13.699999809265137,14.300000190734863,0.6000003814697266,0.14128972589969635
102, Madagascar,0.5099999904632568,0.527999997138977,0.018000006675720215,10.199999809265137,10.199999809265137,0.0,0.3840000033378601
103, Malawi,0.41999998688697815,0.4830000102519989,0.06300002336502075,10.199999809265137,11.199999809265137,1.0,0.24300000071525574
104, Malaysia,0.7649999856948853,0.8100000023841858,0.04500001668930054,12.800000190734863,13.699999809265137,0.8999996185302734,0.14128972589969635
105, Maldives,0.6740000247955322,0.7400000095367432,0.06599998474121094,11.600000381469727,12.199999809265137,0.5999994277954102,0.003000000026077032
106, Mali,0.4009999930858612,0.4339999854564667,0.03299999237060547,7.400000095367432,7.5,0.09999990463256836,0.37599998712539673
107, Malta,0.8399999737739563,0.8949999809265137,0.05500000715255737,14.600000381469727,16.100000381469727,1.5,0.14128972589969635
108, Marshall Islands,0.6834031939506531,0.7039999961853027,0.0407150536775589,12.550268173217773,12.399999618530273,0.8245989680290222,0.14128972589969635
109, Mauritania,0.5019999742507935,0.5460000038146973,0.04400002956390381,7.599999904632568,8.600000381469727,1.0000004768371582,0.26100000739097595
110, Mauritius,0.7450000047683716,0.8040000200271606,0.05900001525878906,14.0,15.100000381469727,1.1000003814697266,0.14128972589969635
111, Mexico,0.7480000257492065,0.7789999842643738,0.030999958515167236,13.0,14.800000190734863,1.8000001907348633,0.026000000536441803
112, Micronesia (Federated States of),0.5960000157356262,0.6200000047683716,0.02399998903274536,11.100000381469727,11.5,0.39999961853027344,0.14128972589969635
113, Moldova (Republic of),0.7059999704360962,0.75,0.04400002956390381,11.800000190734863,11.5,-0.3000001907348633,0.004000000189989805
114, Mongolia,0.6869999766349792,0.7369999885559082,0.050000011920928955,14.300000190734863,14.199999809265137,-0.10000038146972656,0.02800000086426735
115, Montenegro,0.796999990940094,0.8289999961853027,0.03200000524520874,14.899999618530273,15.0,0.10000038146972656,0.004999999888241291
116, Morocco,0.6079999804496765,0.6859999895095825,0.078000009059906,10.699999809265137,13.699999809265137,3.0,0.08500000089406967
117, Mozambique,0.39399999380111694,0.4560000002384186,0.062000006437301636,9.399999618530273,10.0,0.6000003814697266,0.41100001335144043
118, Myanmar,0.5040000081062317,0.5830000042915344,0.07899999618530273,8.899999618530273,10.699999809265137,1.8000001907348633,0.17599999904632568
119, Namibia,0.5759999752044678,0.6460000276565552,0.0700000524520874,11.600000381469727,12.600000381469727,1.0,0.17100000381469727
120, Nepal,0.5220000147819519,0.6019999980926514,0.07999998331069946,11.100000381469727,12.800000190734863,1.6999998092651367,0.14800000190734863
121, Netherlands,0.9120000004768372,0.9440000057220459,0.03200000524520874,16.799999237060547,18.5,1.7000007629394531,0.14128972589969635
122, New Zealand,0.9049999713897705,0.9309999942779541,0.026000022888183594,20.299999237060547,18.799999237060547,-1.5,0.14128972589969635
123, Nicaragua,0.6169999837875366,0.6600000262260437,0.04300004243850708,11.399999618530273,12.300000190734863,0.9000005722045898,0.07400000095367432
124, Niger,0.32100000977516174,0.39399999380111694,0.0729999840259552,4.400000095367432,6.5,2.0999999046325684,0.5899999737739563
125, Nigeria,0.49000000953674316,0.5389999747276306,0.04899996519088745,9.5,10.0,0.5,0.2540000081062317
126, North Macedonia,0.7390000224113464,0.7739999890327454,0.034999966621398926,13.0,13.600000381469727,0.6000003814697266,0.009999999776482582
